treeid,year,wpbr,mean_length,mean_num,dbh,plot,drought,pern,n,perc,delta_c,mortality,pair,drought2,Rust,dbhclass
DC1,2017,yes,7.366666666666667,10.333333333333334,56.8,DC,No,1.07,-5.55,50.08,-27.45,0,1,NoDrought,Yes,Adult
DC1,2016,yes,6.866666666666667,11,56.8,DC,No,1,-5.7,51,-28.15,0,1,NoDrought,Yes,Adult
DC1,2015,yes,6.633333333333333,10.666666666666666,56.8,DC,Yes,0.97,-6.05,47.87,-27.08,0,1,Drought,Yes,Adult
DC1,2014,yes,6.8,13.333333333333334,56.8,DC,Yes,0.89,-6.03,52.53,-26.94,0,1,Drought,Yes,Adult
DC1,2013,yes,6.233333333333333,10.666666666666666,56.8,DC,Yes,0.88,-5.87,51.04,-27.149999999999995,0,1,Drought,Yes,Adult
DC1,2012,yes,7.2,8.666666666666666,56.8,DC,Yes,0.81,-6.08,52.94,-27.98,0,1,Drought,Yes,Adult
DC4,2017,no,8.833333333333334,15.333333333333334,22.9,DC,No,1.12,-6.62,52.97,-30.400000000000006,0,4,NoDrought,No,Pole
DC4,2016,no,7.3,16,22.9,DC,No,1.19,-6.22,46.9,-29.810000000000002,0,4,NoDrought,No,Pole
DC4,2015,no,7.833333333333333,12,22.9,DC,Yes,1.02,-6.8,49.87,-29.610000000000003,0,4,Drought,No,Pole
DC4,2014,no,7.3999999999999995,11.333333333333334,22.9,DC,Yes,0.94,-7.02,49.8,-29.050000000000004,0,4,Drought,No,Pole
DC4,2013,no,7.333333333333333,13.666666666666666,22.9,DC,Yes,0.93,-6.74,49.78,-29.47,0,4,Drought,No,Pole
DC4,2012,no,7.833333333333333,11.333333333333334,22.9,DC,Yes,0.82,-6.83,49.63,-30.270000000000003,0,4,Drought,No,Pole
DC5,2017,no,11.133333333333333,15.333333333333334,51,DC,No,1.34,-3.23,49.97,-27.29,0,1,NoDrought,No,Adult
DC5,2016,no,11.066666666666668,28.333333333333332,51,DC,No,1.21,-3.42,49.67,-27.77,0,1,NoDrought,No,Adult
DC5,2015,no,10.333333333333334,31.333333333333332,51,DC,Yes,1.21,-3.55,50.26,-27.200000000000003,0,1,Drought,No,Adult
DC5,2014,no,10,33,51,DC,Yes,1.07,-3.87,49.73,-27.03,0,1,Drought,No,Adult
