treeid,year,length,site,drought,name
DC4,2017,8.833333333333334,DC,No drought,sugar pine
DC4,2016,7.3,DC,No drought,sugar pine
DC4,2015,7.833333333333333,DC,Drought,sugar pine
DC4,2014,7.3999999999999995,DC,Drought,sugar pine
DC4,2013,7.333333333333333,DC,Drought,sugar pine
DC4,2012,7.833333333333333,DC,Drought,sugar pine
DC5,2017,11.133333333333333,DC,No drought,sugar pine
DC5,2016,11.066666666666668,DC,No drought,sugar pine
DC5,2015,10.333333333333334,DC,Drought,sugar pine
DC5,2014,10,DC,Drought,sugar pine
DC5,2013,10.733333333333334,DC,Drought,sugar pine
DC5,2012,10.366666666666667,DC,Drought,sugar pine
DC6,2017,8.866666666666667,DC,No drought,sugar pine
DC6,2016,7.866666666666667,DC,No drought,sugar pine
DC6,2015,6,DC,Drought,sugar pine
DC6,2014,5.733333333333334,DC,Drought,sugar pine
DC6,2013,6.466666666666666,DC,Drought,sugar pine
DC6,2012,6.900000000000001,DC,Drought,sugar pine
DC7,2017,6.6000000000000005,DC,No drought,sugar pine
DC7,2016,7.6000000000000005,DC,No drought,sugar pine
DC7,2015,5.966666666666666,DC,Drought,sugar pine
DC7,2014,5.933333333333334,DC,Drought,sugar pine
DC7,2013,5.3999999999999995,DC,Drought,sugar pine
DC7,2012,6.366666666666667,DC,Drought,sugar pine
DC13,2017,6.6000000000000005,DC,No drought,sugar pine
DC13,2016,6.766666666666667,DC,No drought,sugar pine
DC13,2015,5.666666666666667,DC,Drought,sugar pine
DC13,2014,5.6000000000000005,DC,Drought,sugar pine
DC13,2013,6.133333333333333,DC,Drought,sugar pine
DC13,2012,NA,DC,Drought,sugar pine
DC16,2017,6.066666666666666,DC,No drought,sugar pine
DC16,2016,6.066666666666667,DC,No drought,sugar pine
DC16,2015,5.8999999999999995,DC,Drought,sugar pine
DC16,2014,5.166666666666667,DC,Drought,sugar pine
DC16,2013,4.866666666666666,DC,Drought,sugar pine
DC16,2012,5.133333333333333,DC,Drought,sugar pine
DC17,2017,7.400000000000001,DC,No drought,sugar pine
DC17,2016,7.866666666666667,DC,No drought,sugar pine
DC17,2015,7.033333333333334,DC,Drought,sugar pine
DC17,2014,6.166666666666667,DC,Drought,sugar pine
DC17,2013,6.5,DC,Drought,sugar pine
DC17,2012,6.866666666666667,DC,Drought,sugar pine
SB1,2017,7.8356666666666674,SB,No drought,sugar pine
SB1,2016,7.634,SB,No drought,sugar pine
SB1,2015,7.3103333333333325,SB,Drought,sugar pine
SB1,2014,7.475666666666666,SB,Drought,sugar pine
SB1,2013,8.560333333333334,SB,Drought,sugar pine
SB1,2012,8.927999999999999,SB,Drought,sugar pine
SB4,2017,7.069,SB,No drought,sugar pine
SB4,2016,6.779,SB,No drought,sugar pine
SB4,2015,5.756333333333333,SB,Drought,sugar pine
SB4,2014,6.766333333333333,SB,Drought,sugar pine
SB4,2013,8.147,SB,Drought,sugar pine
SB4,2012,7.961666666666666,SB,Drought,sugar pine
SB6,2017,7.945,SB,No drought,sugar pine
SB6,2016,8.716,SB,No drought,sugar pine
SB6,2015,8.067333333333332,SB,Drought,sugar pine
SB6,2014,8.987666666666668,SB,Drought,sugar pine
SB6,2013,8.706999999999999,SB,Drought,sugar pine
SB6,2012,8.651666666666667,SB,Drought,sugar pine
SB8,2017,10.098,SB,No drought,sugar pine
SB8,2016,9.063666666666668,SB,No drought,sugar pine
SB8,2015,7.484000000000001,SB,Drought,sugar pine
SB8,2014,7.681333333333334,SB,Drought,sugar pine
SB8,2013,9.095666666666666,SB,Drought,sugar pine
SB8,2012,10.926333333333334,SB,Drought,sugar pine
SB10,2017,6.602666666666667,SB,No drought,sugar pine
SB10,2016,6.818666666666666,SB,No drought,sugar pine
SB10,2015,6.630333333333333,SB,Drought,sugar pine
SB10,2014,4.998333333333334,SB,Drought,sugar pine
SB10,2013,7.215333333333334,SB,Drought,sugar pine
SB10,2012,7.189,SB,Drought,sugar pine
SB12,2017,8.745666666666667,SB,No drought,sugar pine
SB12,2016,8.748666666666667,SB,No drought,sugar pine
SB12,2015,9.127333333333334,SB,Drought,sugar pine
SB12,2014,8.270333333333333,SB,Drought,sugar pine
SB12,2013,8.810333333333334,SB,Drought,sugar pine
SB12,2012,9.436,SB,Drought,sugar pine
SB15,2017,6.037,SB,No drought,sugar pine
SB15,2016,7.165666666666667,SB,No drought,sugar pine
SB15,2015,7.447666666666666,SB,Drought,sugar pine
SB15,2014,8.131,SB,Drought,sugar pine
SB15,2013,7.492,SB,Drought,sugar pine
SB15,2012,7.887499999999999,SB,Drought,sugar pine
SB16,2017,7.297666666666667,SB,No drought,sugar pine
SB16,2016,7.989999999999999,SB,No drought,sugar pine
SB16,2015,7.869666666666668,SB,Drought,sugar pine
SB16,2014,7.63,SB,Drought,sugar pine
SB16,2013,7.458333333333333,SB,Drought,sugar pine
SB16,2012,9.231,SB,Drought,sugar pine
SB19,2017,8.504666666666667,SB,No drought,sugar pine
SB19,2016,9.346,SB,No drought,sugar pine
SB19,2015,8.778333333333334,SB,Drought,sugar pine
SB19,2014,8.464333333333334,SB,Drought,sugar pine
SB19,2013,8.289333333333333,SB,Drought,sugar pine
SB19,2012,8.630666666666666,SB,Drought,sugar pine
SB21,2017,8.892000000000001,SB,No drought,sugar pine
SB21,2016,9.025333333333334,SB,No drought,sugar pine
SB21,2015,7.585333333333334,SB,Drought,sugar pine
SB21,2014,7.316,SB,Drought,sugar pine
SB21,2013,9.409333333333334,SB,Drought,sugar pine
SB21,2012,9.954666666666666,SB,Drought,sugar pine
